timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
299770985,299769758,20740449,41.1790081,-8.6036451,0.53761196,2.0786912,-1.0235144,0.00023569915,-0.0010364398,-6.15716e-05,-0.011591543,0.020587979,0.037828393,0.045334898,0.0054122694,-0.00391737,-0.021185223,-0.26238477,-0.7086049,-0.25639373,0.19465077,0.0086743,108.99439,0.096431494,0.32606506,0.3073022,0.13483381,0.095549434,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
299870798,299869707,20740449,41.1790081,-8.6036451,0.5348164,2.0788643,-1.0184985,0.00023569915,-0.0010364398,-6.15716e-05,-0.012670982,0.023305155,0.03852148,0.04661501,0.0054122694,-0.00391737,-0.021185223,0.5974496,0.13259284,0.17535475,0.19454396,0.0086743,108.99439,0.09090698,0.33425635,0.31137216,0.13927855,0.09702358,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
299970738,299969656,20740449,41.1790081,-8.6036451,0.5321896,2.0793755,-1.0147475,0.00023569915,-0.0010364398,-6.15716e-05,-0.012707972,0.021627443,0.037398767,0.04490107,0.0054122694,-0.00391737,-0.021185223,-0.09937942,-0.12012598,0.020003356,0.1946374,0.0086743,108.99439,0.09443498,0.3260364,0.30729246,0.13485524,0.09555497,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
300070729,300069606,20740449,41.1790081,-8.6036451,0.52935785,2.0797536,-1.010339,0.00023569915,-0.0010364398,-6.15716e-05,-0.013496874,0.02351593,0.03618884,0.043769732,0.0054122694,-0.00391737,-0.021185223,-0.1144146,-0.029819705,-0.73032475,0.19454402,0.0086743,108.99439,0.09197104,0.33422813,0.3113629,0.13930279,0.09702927,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
300170644,300169555,20740449,41.1790081,-8.6036451,0.5269743,2.0805912,-1.0066966,0.00023569915,-0.0010364398,-6.15716e-05,-0.012831588,0.02395689,0.03879883,0.045807112,0.0054122694,-0.00391737,-0.021185223,-0.5994059,1.3123487,0.33371148,0.19468112,0.0086743,108.99439,0.09377372,0.32594803,0.30725884,0.13481107,0.095543385,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
300270606,300269504,20740449,41.1790081,-8.6036451,0.524814,2.0815725,-1.0030105,0.00023569915,-0.0010364398,-6.15716e-05,-0.016249327,0.026565693,0.03919082,0.045700047,0.0054122694,-0.00391737,-0.021185223,-0.8028525,2.5052814,0.3425045,0.19478174,0.0086743,108.99439,0.09106588,0.3341331,0.31132862,0.13924403,0.09701809,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
300370530,300369453,20740449,41.1790081,-8.6036451,0.52322996,2.082902,-0.9999157,0.00023569915,-0.0010364398,-6.15716e-05,-0.014552992,0.016977265,0.034732062,0.040331315,0.0054122694,-0.00391737,-0.021185223,-0.47377384,-1.66894,1.0831581,0.19475809,0.0086743,108.99439,0.094264865,0.3258458,0.30722722,0.13475224,0.09553336,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
300470619,300469402,20740449,41.1790081,-8.6036451,0.522712,2.0842845,-0.9964836,0.00023569915,-0.0010364398,-6.15716e-05,-0.010472223,0.023403848,0.034244444,0.039335545,0.0054122694,-0.00391737,-0.021185223,1.0609535,0.1126537,-1.3413572,0.19492142,0.0086743,108.99439,0.089953005,0.33402446,0.31129643,0.13920934,0.09700737,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
300570340,300569351,20740449,41.1790081,-8.6036451,0.5217158,2.0857668,-0.99414045,0.00023569915,-0.0010364398,-6.15716e-05,-0.007634396,0.025491944,0.032844085,0.036538802,0.0054122694,-0.00391737,-0.021185223,1.1183653,1.4188831,0.21400622,0.19487368,0.0086743,108.99439,0.092191875,0.3257511,0.30837232,0.13472767,0.0956892,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
300670403,300669302,20740449,41.1790081,-8.6036451,0.51894695,2.0866756,-0.9927861,0.00023569915,-0.0010364398,-6.15716e-05,-0.013702376,0.029658819,0.03207724,0.03357383,0.0054122694,-0.00391737,-0.021185223,0.61335564,2.1284664,-1.5868,0.19504137,0.0086743,108.99439,0.08846027,0.3339246,0.3124786,0.13917273,0.097172275,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
